,codigo,x,y,tipo,numero
530,954,44449651,447390604,cruces,9
531,955,44441334,447383924,cruces,5
532,957,44429996,447438503,cruces,2
533,958,44585392,447321307,cruces,1
534,958,44588335,447322052,cruces,1
535,958,44600233,447328463,cruces,5
536,958,44600233,447328463,cruces,5
537,958,44609211,447332307,cruces,9
538,958,44622210,447331692,cruces,23
539,958,44641778,447319407,cruces,31
540,958,44641778,447319407,cruces,31
541,959,44608664,447350999,cruces,2
542,959,44608664,447350999,cruces,2
543,959,44648806,447354080,cruces,6
544,959,44648806,447354080,cruces,6
545,959,44651856,447361416,cruces,16
546,959,44655157,447368884,cruces,20
547,959,44658176,447376213,cruces,28
548,960,44633422,447344962,cruces,4
549,960,44638058,447358489,cruces,6
550,960,44643647,447365047,cruces,8
551,960,44652528,447378428,cruces,14
552,961,44643647,447365047,cruces,2
553,961,44651856,447361416,cruces,6
554,961,44661890,447357070,cruces,12
555,961,44661890,447357070,cruces,12
556,962,44719010,447784936,cruces,2
557,963,44304202,448191927,cruces,
558,963,44499994,448158784,cruces,
559,963,44732848,447965345,cruces,
560,963,44777698,447904707,cruces,
561,963,44888640,447807384,cruces,
562,964,44231409,447281142,cruces,8
563,965,43961594,447354196,cruces,3
564,966,43961011,447355116,cruces,1
565,966,43970968,447353870,cruces,3
566,967,44181421,447276390,cruces,2
567,967,44181492,447276616,cruces,2
568,967,44208343,447265441,cruces,2
569,967,44203857,447249997,cruces,4
570,967,44222924,447256371,cruces,8
571,968,43477687,447079298,cruces,2
572,968,43477675,447079669,cruces,2
573,968,43467976,447132770,cruces,2
574,969,43445908,447114109,cruces,2
575,969,43464913,447146645,cruces,10
576,969,43464913,447146645,cruces,10
577,969,43464625,447147134,cruces,10
578,969,43464623,447146944,cruces,10
579,970,43421395,447208035,cruces,2
580,970,43421395,447208035,cruces,2
581,970,43416240,447213879,cruces,2
582,970,43404690,447226568,cruces,26
583,970,43390962,447218665,cruces,28
584,970,43390962,447218665,cruces,28
585,971,43411315,447220438,cruces,1
586,971,43419314,447225436,cruces,7
587,971,43390962,447218665,cruces,61
588,971,43391778,447207268,cruces,71
589,972,43422926,447220218,cruces,1
590,974,43419314,447225436,cruces,5
591,975,43404690,447226568,cruces,2
592,975,43398865,447216987,cruces,14
593,975,43401632,447209390,cruces,20
594,976,43411315,447220438,cruces,1
595,976,43398865,447216987,cruces,15
596,976,43390962,447218665,cruces,23
597,978,44115701,446965430,cruces,3
598,984,43935384,447026508,cruces,2
599,984,43935384,447026508,cruces,2
600,990,43491338,447153005,cruces,2
601,990,43497046,447158341,cruces,2
602,990,43486718,447148693,cruces,4
603,990,43479394,447142352,cruces,6
604,990,43477312,447140398,cruces,8
605,990,43473357,447138072,cruces,12
606,990,43467976,447132770,cruces,16
607,990,43457047,447123281,cruces,26
608,990,43445908,447114109,cruces,34
609,995,44130025,446776984,cruces,4
610,995,44134099,446777147,cruces,6
611,995,44141944,446777452,cruces,12
612,995,44156231,446777952,cruces,22
613,995,44156115,446777948,cruces,22
614,996,44154240,446830676,cruces,38
615,996,44154471,446822091,cruces,44
616,996,44154921,446807728,cruces,50
617,996,44154644,446813890,cruces,52
618,996,44155485,446796366,cruces,56
619,996,44155838,446788322,cruces,60
620,996,44156115,446777948,cruces,62
621,996,44156115,446777948,cruces,62
622,997,44128023,446829484,cruces,9
623,997,44128402,446820958,cruces,13
624,997,44128704,446812979,cruces,15
625,997,44129314,446795290,cruces,25
626,997,44129629,446787197,cruces,27
627,997,44130025,446776984,cruces,29
628,998,44129629,446787197,cruces,1
629,998,44144524,446787854,cruces,13
630,998,44155838,446788322,cruces,17
631,998,44168609,446788819,cruces,23
632,998,44176611,446789100,cruces,31
633,998,44184726,446789377,cruces,41
634,998,44192783,446789651,cruces,47
635,998,44194200,446788348,cruces,47
636,998,44194200,446788348,cruces,47
637,999,44128023,446829484,cruces,2
638,999,44154240,446830676,cruces,20
639,999,44166919,446831232,cruces,26
640,999,44183095,446831918,cruces,38
641,999,44191802,446815583,cruces,48
642,999,44192074,446805915,cruces,56
643,999,44192783,446789651,cruces,76
644,1000,44493109,448094912,cruces,4
645,1000,44502270,448098211,cruces,1566
646,1000,44516050,448105356,cruces,1606
647,1000,44516050,448105356,cruces,1606
648,1000,44515956,448105316,cruces,1606
649,1000,44506749,448122346,cruces,1612
650,1000,44505228,448107838,cruces,1616
651,1000,44491061,448097093,cruces,1658
652,1001,44143705,446807300,cruces,17
653,1001,44154921,446807728,cruces,25
654,1001,44167823,446808297,cruces,29
655,1001,44184033,446805627,cruces,41
656,1001,44192074,446805915,cruces,47
657,1003,44128704,446812979,cruces,1
658,1003,44143489,446813506,cruces,11
659,1003,44154644,446813890,cruces,17
660,1003,44167575,446814386,cruces,23
661,1003,44183750,446815067,cruces,35
662,1003,44191802,446815583,cruces,39
663,1004,44129314,446795290,cruces,2
664,1004,44144204,446795915,cruces,14
665,1004,44155485,446796366,cruces,18
666,1004,44168266,446796858,cruces,24
667,1004,44176269,446797140,cruces,28
668,1005,44183095,446831918,cruces,2
669,1005,44183750,446815067,cruces,10
670,1005,44184033,446805627,cruces,14
671,1005,44184726,446789377,cruces,32
672,1006,44143182,446821603,cruces,4
673,1006,44143489,446813506,cruces,10
674,1006,44143705,446807300,cruces,12
675,1006,44144204,446795915,cruces,18
676,1006,44144524,446787854,cruces,20
677,1007,44176269,446797140,cruces,9
678,1007,44176611,446789100,cruces,15
679,1008,44166919,446831232,cruces,1
680,1008,44167235,446822601,cruces,3
681,1008,44167575,446814386,cruces,9
682,1008,44167823,446808297,cruces,11
683,1008,44168266,446796858,cruces,15
684,1008,44168609,446788819,cruces,19
685,1008,44156493,446770973,cruces,37
686,1009,44128402,446820958,cruces,2
687,1009,44143182,446821603,cruces,12
688,1009,44154471,446822091,cruces,18
689,1009,44167235,446822601,cruces,22
690,1011,44088933,446706209,cruces,2
691,1011,44092400,446690542,cruces,12
692,1011,44091624,446696449,cruces,12
693,1012,44107186,446701013,cruces,10
694,1012,44103400,446692372,cruces,18
695,1013,44098102,446710629,cruces,1
696,1013,44101436,446699277,cruces,11
697,1013,44098412,446691550,cruces,17
